,University,Department,State,Gender,Rank,Qualification,EmploymentType,Age,YearsOfExperience,Publications,PerformanceScore,AbsenceDays,CoursesTaught,StudentsSupervised,PayrollCategory,ResearchProductivity,TeachingLoad,Performance,YearsStudents
27,Nnamdi Azikiwe University,Geography,Kaduna,Female,Assistant lecturer,M.Ed,Full-time staff,30,2,0,7.4,8,3,11,Medium,0.0,0.25,9.4,3.6667
28,University of Benin,History,Enugu,Female,Senior lecturer,Ph.D,Full-time staff,43,15,4,6.2,6,1,10,Executive,0.25,0.0909,25.2,0.625
29,Ahmadu Bello University,English,Oyo,Female,Senior lecturer,Ph.D,Adjunct staff,47,18,11,8.1,1,6,16,Executive,0.5789,0.3529,37.1,0.8421
30,University of Benin,Engineering,Benue,Female,Senior lecturer,Ph.D,Full-time staff,41,15,7,7.1,0,4,15,Executive,0.4375,0.25,29.1,0.9375
31,University of Benin,Geography,Anambra,Female,Lecturer ii,B.Sc,Part-time staff,32,6,5,8.6,2,5,11,Medium,0.7143,0.4167,19.6,1.5714
32,University of Lagos,Agriculture,Katsina,Female,Lecturer ii,Ph.D,Full-time staff,37,9,1,5.4,0,2,21,Medium,0.1,0.0909,15.4,2.1
33,University of Ilorin,English,Sokoto,Female,Lecturer i,Ph.D,Part-time staff,36,15,0,4.5,1,1,2,Medium,0.0,0.3333,19.5,0.125
34,University of Benin,Architecture,Delta,Female,Lecturer ii,Ph.D,Full-time staff,33,7,6,6.8,10,4,12,Medium,0.75,0.3077,19.8,1.5
35,University of Lagos,Chemistry,Katsina,Female,Lecturer i,Ph.D,Full-time staff,36,14,8,6.8,1,3,10,High,0.5333,0.2727,28.8,0.6667
36,University of Benin,Mathematics,Kwara,Male,Associate professor,M.Sc,Full-time staff,47,25,17,7.8,5,5,24,Executive,0.6538,0.2,49.8,0.9231
37,Obafemi Awolowo University,Computer science,Kwara,Female,Lecturer i,Ph.D,Full-time staff,39,14,3,5.5,2,7,14,High,0.2,0.4667,22.5,0.9333
38,University of Benin,English,Katsina,Female,Senior lecturer,Ph.D,Full-time staff,43,14,13,9.2,1,4,5,Executive,0.8667,0.6667,36.2,0.3333
39,Bayero University Kano,Biology,Katsina,Male,Assistant lecturer,Ph.D,Full-time staff,30,2,1,8.1,0,2,1,Low,0.3333,1.0,11.1,0.3333
40,Ahmadu Bello University,History,Delta,Female,Associate professor,Ph.D,Full-time staff,47,24,13,5.1,6,1,22,Executive,0.52,0.0435,42.1,0.88
41,Obafemi Awolowo University,History,Kano,Female,Lecturer i,M.Sc,Full-time staff,42,14,5,6.5,2,1,3,High,0.3333,0.25,25.5,0.2
42,Bayero University Kano,Education,Zamfara,Female,Lecturer i,Ph.D,Full-time staff,40,13,4,8.8,1,12,17,High,0.2857,0.6667,25.8,1.2143
43,University of Nigeria Nsukka,Geography,Anambra,Female,Senior lecturer,M.Ed,Full-time staff,45,20,8,8.2,3,6,10,Executive,0.381,0.5455,36.2,0.4762
44,University of Benin,Medicine,Kano,Female,Associate professor,Ph.D,Full-time staff,48,23,8,7.3,2,0,5,Executive,0.3333,0.0,38.3,0.2083
45,University of Ilorin,Law,Benue,Female,Lecturer ii,Ph.D,Full-time staff,34,5,6,7.7,0,6,20,Medium,1.0,0.2857,18.7,3.3333
46,Nnamdi Azikiwe University,Mathematics,Delta,Female,Lecturer ii,Ph.D,Visiting staff,31,6,7,6.6,1,1,7,Medium,1.0,0.125,19.6,1.0
47,Abubakar Tafawa Balewa University Bauchi,Chemistry,Bauchi,Female,Assistant lecturer,B.Tech,Part-time staff,27,2,4,4.7,4,6,3,Medium,1.3333,1.5,10.7,1.0
48,Nnamdi Azikiwe University,Chemistry,Abuja,Female,Lecturer i,Ph.D,Full-time staff,31,7,2,4.2,4,2,16,High,0.25,0.1176,13.2,2.0
49,Obafemi Awolowo University,Pharmacy,Niger,Female,Assistant lecturer,M.Ed,Full-time staff,28,5,2,7.1,4,7,1,Low,0.3333,3.5,14.1,0.1667
50,Obafemi Awolowo University,Nursing,Benue,Female,Lecturer i,Ph.D,Full-time staff,31,9,11,7.9,3,5,21,High,1.1,0.2273,27.9,2.1
51,Bayero University Kano,Engineering,Imo,Female,Graduate assistant,M.Phil,Full-time staff,30,2,3,4.1,3,1,1,Low,1.0,0.5,9.1,0.3333
52,University of Benin,Chemistry,Imo,Female,Lecturer ii,Ph.D,Full-time staff,33,10,9,3.8,2,5,18,Medium,0.8182,0.2632,22.8,1.6364
53,University of Lagos,Geography,Kwara,Female,Professor,LL.B,Contract staff,61,39,0,6.6,11,4,10,Executive,0.0,0.3636,45.6,0.25
54,Bayero University Kano,Pharmacy,Delta,Female,Professor,Ph.D,Full-time staff,63,37,20,9.7,6,4,16,Executive,0.5263,0.2353,66.7,0.4211
55,Ahmadu Bello University,Law,Abuja,Female,Lecturer i,Ph.D,Part-time staff,37,15,5,9.7,10,0,14,High,0.3125,0.0,29.7,0.875
56,Abubakar Tafawa Balewa University Bauchi,Library science,Zamfara,Female,Professor,M.Sc,Full-time staff,58,36,3,6.3,2,7,4,Executive,0.0811,1.4,45.3,0.1081
57,University of Benin,Medicine,Kano,Male,Senior lecturer,Ph.D,Full-time staff,40,15,11,4.0,3,3,19,Executive,0.6875,0.15,30.0,1.1875
58,University of Ilorin,Law,Niger,Female,Senior lecturer,B.Sc,Full-time staff,42,16,3,5.4,3,5,16,Executive,0.1765,0.2941,24.4,0.9412
59,University of Ilorin,History,Zamfara,Female,Professor,MBA,Visiting staff,57,40,14,7.9,1,4,6,Executive,0.3415,0.5714,61.9,0.1463
60,Nnamdi Azikiwe University,Agriculture,Enugu,Female,Assistant lecturer,M.Sc,Full-time staff,24,0,4,6.8,4,1,3,Medium,4.0,0.25,10.8,3.0
61,Federal University of Technology Minna,Economics,Anambra,Female,Professor,MBA,Full-time staff,63,34,19,4.4,9,7,9,Executive,0.5429,0.7,57.4,0.2571
62,University of Nigeria Nsukka,Computer science,Anambra,Female,Lecturer i,M.Sc,Full-time staff,39,13,2,7.6,0,4,12,High,0.1429,0.3077,22.6,0.8571
63,Ahmadu Bello University,Computer science,Kwara,Female,Senior lecturer,Ph.D,Part-time staff,42,18,11,7.1,10,6,11,Executive,0.5789,0.5,36.1,0.5789
64,Nnamdi Azikiwe University,Library science,Imo,Female,Professor,Ph.D,Full-time staff,55,29,17,9.4,0,4,12,Executive,0.5667,0.3077,55.4,0.4
65,University of Lagos,Biology,Lagos,Female,Senior lecturer,Ph.D,Part-time staff,36,12,6,5.3,3,6,16,Executive,0.4615,0.3529,23.3,1.2308
66,University of Lagos,History,Kaduna,Female,Senior lecturer,Ph.D,Contract staff,42,16,8,9.3,2,3,24,Executive,0.4706,0.12,33.3,1.4118
67,Nnamdi Azikiwe University,Agriculture,Oyo,Female,Senior lecturer,B.Ed,Full-time staff,43,14,8,8.9,7,1,12,Executive,0.5333,0.0769,30.9,0.8
68,Obafemi Awolowo University,English,Enugu,Female,Lecturer ii,Ph.D,Full-time staff,35,6,4,5.7,5,6,11,Medium,0.5714,0.5,15.7,1.5714
69,Obafemi Awolowo University,Medicine,Lagos,Female,Lecturer ii,M.Sc,Full-time staff,35,8,5,8.1,2,3,2,Medium,0.5556,1.0,21.1,0.2222
70,Bayero University Kano,Mathematics,Zamfara,Female,Lecturer ii,M.Phil,Part-time staff,30,8,5,5.0,9,6,23,Medium,0.5556,0.25,18.0,2.5556
71,Nnamdi Azikiwe University,Engineering,Zamfara,Male,Lecturer i,Ph.D,Full-time staff,40,15,5,8.4,4,1,7,High,0.3125,0.125,28.4,0.4375
72,Abubakar Tafawa Balewa University Bauchi,Nursing,Imo,Female,Lecturer i,M.Phil,Adjunct staff,35,12,1,6.0,3,2,2,High,0.0769,0.6667,19.0,0.1538
73,Ahmadu Bello University,Engineering,Imo,Male,Lecturer i,B.Ed,Full-time staff,33,10,1,4.0,1,2,16,Medium,0.0909,0.1176,15.0,1.4545
74,Obafemi Awolowo University,Mathematics,Plateau,Female,Lecturer i,M.Sc,Part-time staff,31,8,10,3.6,0,4,4,Medium,1.1111,0.8,21.6,0.4444
75,Abubakar Tafawa Balewa University Bauchi,Computer science,Lagos,Female,Lecturer i,M.Sc,Part-time staff,34,7,6,7.1,3,7,11,High,0.75,0.5833,20.1,1.375
76,University of Ilorin,History,Plateau,Female,Associate professor,Ph.D,Full-time staff,49,27,0,9.5,4,1,20,Executive,0.0,0.0476,36.5,0.7143
77,Nnamdi Azikiwe University,History,Kano,Female,Graduate assistant,Ph.D,Contract staff,25,3,3,8.7,2,4,2,Low,0.75,1.3333,14.7,0.5
78,Federal University of Technology Minna,English,Anambra,Female,Graduate assistant,MBA,Visiting staff,26,0,4,4.8,7,1,3,Low,4.0,0.25,8.8,3.0
79,Abubakar Tafawa Balewa University Bauchi,Pharmacy,Imo,Female,Associate professor,M.Phil,Visiting staff,55,27,9,8.9,3,3,2,Executive,0.3214,1.0,44.9,0.0714
80,Nnamdi Azikiwe University,English,Enugu,Female,Lecturer ii,Ph.D,Full-time staff,30,5,6,7.5,1,4,5,Medium,1.0,0.6667,18.5,0.8333
81,University of Benin,Statistics,Taraba,Male,Assistant lecturer,Ph.D,Visiting staff,26,4,4,5.6,0,5,2,Medium,0.8,1.6667,13.6,0.4
82,University of Benin,Accounting,Sokoto,Female,Senior lecturer,B.Sc,Contract staff,44,18,6,7.5,5,3,2,High,0.3158,1.0,31.5,0.1053
83,Abubakar Tafawa Balewa University Bauchi,Biology,Adamawa,Female,Senior lecturer,M.Sc,Full-time staff,44,15,8,7.0,2,7,4,Executive,0.5,1.4,30.0,0.25
84,University of Nigeria Nsukka,Economics,Rivers,Female,Senior lecturer,M.Sc,Full-time staff,46,21,0,6.9,0,2,10,Executive,0.0,0.1818,27.9,0.4545
85,University of Benin,Chemistry,Benue,Female,Lecturer i,LL.B,Contract staff,36,12,10,4.4,4,3,23,High,0.7692,0.125,26.4,1.7692
86,Ahmadu Bello University,Architecture,Kano,Female,Senior lecturer,B.Tech,Full-time staff,43,15,5,6.7,6,1,16,High,0.3125,0.0588,26.7,1.0
87,Abubakar Tafawa Balewa University Bauchi,Mathematics,Benue,Female,Lecturer i,M.Sc,Contract staff,42,0,5,3.7,1,7,16,High,5.0,0.4118,8.7,16.0
88,University of Lagos,History,Rivers,Female,Lecturer i,Ph.D,Full-time staff,30,8,8,4.9,2,12,24,High,0.8889,0.48,20.9,2.6667
89,University of Nigeria Nsukka,Medicine,Oyo,Female,Senior lecturer,Ph.D,Visiting staff,38,15,11,3.8,1,7,14,Executive,0.6875,0.4667,29.8,0.875
90,Nnamdi Azikiwe University,History,Rivers,Male,Senior lecturer,Ph.D,Full-time staff,45,18,10,4.2,2,6,13,Executive,0.5263,0.4286,32.2,0.6842
91,Abubakar Tafawa Balewa University Bauchi,Economics,Kwara,Female,Senior lecturer,Ph.D,Part-time staff,41,19,7,8.4,4,4,16,High,0.35,0.2353,34.4,0.8
92,Ahmadu Bello University,Statistics,Benue,Female,Senior lecturer,Ph.D,Full-time staff,41,17,11,8.6,3,2,21,Executive,0.6111,0.0909,36.6,1.1667
93,University of Lagos,Law,Bauchi,Female,Lecturer i,Ph.D,Part-time staff,36,12,5,6.9,0,1,3,High,0.3846,0.25,23.9,0.2308
94,Federal University of Technology Minna,Accounting,Benue,Female,Assistant lecturer,Ph.D,Part-time staff,30,6,2,6.4,4,4,2,Medium,0.2857,1.3333,14.4,0.2857
95,Bayero University Kano,Agriculture,Kwara,Female,Senior lecturer,Ph.D,Full-time staff,42,15,11,6.5,1,5,14,High,0.6875,0.3333,32.5,0.875
96,Bayero University Kano,Statistics,Rivers,Female,Assistant lecturer,M.Tech,Full-time staff,34,3,2,9.4,4,5,11,Medium,0.5,0.4167,14.4,2.75
97,Obafemi Awolowo University,Accounting,Plateau,Female,Associate professor,Ph.D,Full-time staff,47,24,13,3.7,4,6,3,Executive,0.52,1.5,40.7,0.12
98,University of Benin,Nursing,Bauchi,Female,Senior lecturer,LL.B,Full-time staff,41,19,4,3.7,5,4,17,Executive,0.2,0.2222,26.7,0.85
99,Federal University of Technology Minna,Mathematics,Sokoto,Female,Assistant lecturer,M.Sc,Full-time staff,27,2,2,9.7,1,4,4,Medium,0.6667,0.8,13.7,1.3333
100,Ahmadu Bello University,Statistics,Kaduna,Female,Professor,Ph.D,Visiting staff,55,28,18,9.5,5,2,18,Executive,0.6207,0.1053,55.5,0.6207
101,Obafemi Awolowo University,Economics,Oyo,Female,Lecturer i,Ph.D,Full-time staff,43,0,6,5.5,1,4,12,High,6.0,0.3077,11.5,12.0
102,University of Benin,Chemistry,Katsina,Female,Lecturer ii,M.Sc,Full-time staff,31,7,8,4.0,3,7,9,Medium,1.0,0.7,19.0,1.125
103,University of Ilorin,Physics,Abuja,Female,Lecturer i,M.Sc,Full-time staff,36,7,4,9.6,2,7,21,High,0.5,0.3182,20.6,2.625
104,Ahmadu Bello University,Architecture,Lagos,Female,Lecturer ii,B.Sc,Adjunct staff,32,5,6,6.5,2,3,16,Medium,1.0,0.1765,17.5,2.6667
105,Federal University of Technology Minna,Pharmacy,Plateau,Female,Lecturer i,Ph.D,Full-time staff,43,14,7,5.4,1,1,14,High,0.4667,0.0667,26.4,0.9333
106,Obafemi Awolowo University,Law,Lagos,Female,Senior lecturer,Ph.D,Contract staff,46,17,2,3.9,2,2,14,Executive,0.1111,0.1333,22.9,0.7778
107,Ahmadu Bello University,Computer science,Plateau,Female,Senior lecturer,Ph.D,Full-time staff,45,16,9,7.1,4,1,11,Executive,0.5294,0.0833,32.1,0.6471
108,University of Benin,Architecture,Adamawa,Female,Assistant lecturer,B.Tech,Full-time staff,25,2,6,4.0,1,1,3,Medium,2.0,0.25,12.0,1.0
109,University of Ilorin,Computer science,Zamfara,Male,Assistant lecturer,B.Ed,Full-time staff,32,3,0,5.6,10,6,1,Medium,0.0,3.0,8.6,0.25
110,University of Lagos,Agriculture,Abuja,Female,Assistant lecturer,M.Sc,Full-time staff,32,5,1,4.2,1,1,3,Medium,0.1667,0.25,10.2,0.5
111,Abubakar Tafawa Balewa University Bauchi,Chemistry,Katsina,Female,Lecturer i,Ph.D,Full-time staff,36,12,3,9.2,6,1,24,High,0.2308,0.04,24.2,1.8462
112,Bayero University Kano,Medicine,Abuja,Female,Lecturer ii,B.Tech,Full-time staff,32,4,3,8.4,5,4,15,Medium,0.6,0.25,15.4,3.0
113,Abubakar Tafawa Balewa University Bauchi,Education,Lagos,Female,Professor,M.Tech,Contract staff,61,35,4,4.8,5,7,8,Executive,0.1111,0.7778,43.8,0.2222
114,Federal University of Technology Minna,Economics,Abuja,Female,Graduate assistant,Ph.D,Visiting staff,30,1,1,5.6,5,4,2,Low,0.5,1.3333,7.6,1.0
115,Ahmadu Bello University,Architecture,Kaduna,Female,Lecturer ii,M.Sc,Full-time staff,27,0,9,6.7,0,7,3,Medium,9.0,1.75,15.7,3.0
116,University of Ilorin,Agriculture,Niger,Female,Associate professor,Ph.D,Full-time staff,50,23,15,7.8,5,6,4,Executive,0.625,1.2,45.8,0.1667
117,Obafemi Awolowo University,Nursing,Plateau,Female,Senior lecturer,M.Sc,Part-time staff,41,19,6,6.9,5,3,20,Executive,0.3,0.1429,31.9,1.0
118,University of Ilorin,History,Katsina,Female,Senior lecturer,Ph.D,Full-time staff,36,13,5,8.3,7,7,21,Executive,0.3571,0.3182,26.3,1.5
119,University of Nigeria Nsukka,Chemistry,Zamfara,Female,Lecturer i,B.Ed,Full-time staff,38,13,5,7.1,4,6,4,High,0.3571,1.2,25.1,0.2857
120,Federal University of Technology Minna,Pharmacy,Niger,Female,Professor,M.Sc,Full-time staff,59,37,17,9.8,5,7,17,Executive,0.4474,0.3889,63.8,0.4474
121,University of Nigeria Nsukka,Economics,Katsina,Female,Lecturer ii,Ph.D,Full-time staff,30,5,5,7.3,3,5,6,Medium,0.8333,0.7143,17.3,1.0
122,University of Nigeria Nsukka,Chemistry,Zamfara,Female,Lecturer ii,B.Tech,Contract staff,37,8,4,6.6,0,4,13,Medium,0.4444,0.2857,18.6,1.4444
123,Federal University of Technology Minna,Medicine,Katsina,Female,Lecturer ii,M.Ed,Full-time staff,37,10,2,3.8,5,7,8,Medium,0.1818,0.7778,15.8,0.7273
124,University of Nigeria Nsukka,Accounting,Sokoto,Female,Associate professor,M.Ed,Full-time staff,56,27,3,7.2,2,6,4,Executive,0.1071,1.2,37.2,0.1429
125,Obafemi Awolowo University,Mathematics,Benue,Female,Assistant lecturer,Ph.D,Full-time staff,30,5,1,7.3,3,1,0,Low,0.1667,1.0,13.3,0.0
126,University of Nigeria Nsukka,Biology,Niger,Female,Senior lecturer,M.Tech,Adjunct staff,39,16,3,5.0,1,7,12,Executive,0.1765,0.5385,24.0,0.7059
127,University of Ilorin,Statistics,Zamfara,Female,Senior lecturer,Ph.D,Full-time staff,41,17,7,7.0,3,4,24,Executive,0.3889,0.16,31.0,1.3333
128,University of Nigeria Nsukka,Architecture,Zamfara,Female,Lecturer i,M.Sc,Full-time staff,36,8,0,6.7,2,5,16,High,0.0,0.2941,14.7,1.7778
129,Nnamdi Azikiwe University,Agriculture,Kano,Female,Lecturer i,LL.B,Full-time staff,30,8,6,6.7,0,6,5,High,0.6667,1.0,20.7,0.5556
130,University of Lagos,Statistics,Lagos,Male,Associate professor,Ph.D,Contract staff,53,23,9,4.6,3,5,18,Executive,0.375,0.2632,36.6,0.75
131,University of Ilorin,Law,Abuja,Female,Lecturer i,Ph.D,Full-time staff,37,10,2,9.1,3,6,15,High,0.1818,0.375,21.1,1.3636
132,Abubakar Tafawa Balewa University Bauchi,Chemistry,Adamawa,Female,Lecturer i,MBA,Full-time staff,38,15,10,4.0,5,3,10,High,0.625,0.2727,29.0,0.625
133,Bayero University Kano,Agriculture,Enugu,Male,Lecturer ii,Ph.D,Full-time staff,30,4,4,8.3,3,5,10,Medium,0.8,0.4545,16.3,2.0
134,University of Nigeria Nsukka,Biology,Lagos,Female,Lecturer ii,Ph.D,Full-time staff,32,5,9,5.6,7,1,24,Medium,1.5,0.04,19.6,4.0
135,University of Nigeria Nsukka,Computer science,Oyo,Female,Assistant lecturer,M.Sc,Full-time staff,28,3,0,8.5,5,6,0,Medium,0.0,6.0,11.5,0.0
136,Nnamdi Azikiwe University,Nursing,Bauchi,Female,Senior lecturer,MBA,Full-time staff,47,21,10,6.7,1,3,18,Executive,0.4545,0.1579,37.7,0.8182
137,Obafemi Awolowo University,Nursing,Kaduna,Male,Lecturer ii,M.Sc,Full-time staff,32,5,3,3.8,0,7,14,Medium,0.5,0.4667,11.8,2.3333
138,University of Ilorin,Computer science,Niger,Female,Associate professor,Ph.D,Contract staff,52,27,16,5.9,3,7,13,Executive,0.5714,0.5,48.9,0.4643
139,University of Benin,Physics,Sokoto,Female,Senior lecturer,M.Sc,Full-time staff,40,12,5,3.7,1,2,15,High,0.3846,0.125,20.7,1.1538
140,University of Lagos,Engineering,Plateau,Female,Assistant lecturer,M.Phil,Full-time staff,30,3,0,4.9,3,4,1,Medium,0.0,2.0,7.9,0.25
141,Obafemi Awolowo University,History,Abuja,Female,Associate professor,Ph.D,Full-time staff,44,22,9,9.7,1,2,16,Executive,0.3913,0.1176,40.7,0.6957
142,Nnamdi Azikiwe University,Pharmacy,Katsina,Female,Lecturer i,B.Sc,Full-time staff,35,7,11,7.3,3,2,9,High,1.375,0.2,25.3,1.125
143,University of Nigeria Nsukka,Law,Kaduna,Female,Professor,M.Ed,Full-time staff,48,26,2,7.9,1,5,14,Executive,0.0741,0.3333,35.9,0.5185
144,Bayero University Kano,Statistics,Plateau,Female,Lecturer i,Ph.D,Visiting staff,39,15,10,9.8,5,5,14,High,0.625,0.3333,34.8,0.875
145,University of Lagos,Geography,Adamawa,Female,Graduate assistant,MBA,Full-time staff,29,3,3,7.9,2,6,0,Low,0.75,6.0,13.9,0.0
146,Ahmadu Bello University,Computer science,Sokoto,Female,Senior lecturer,M.Phil,Part-time staff,43,21,11,5.8,6,5,7,Executive,0.5,0.625,37.8,0.3182
147,Obafemi Awolowo University,Architecture,Taraba,Female,Lecturer i,M.Sc,Full-time staff,37,13,7,4.7,4,5,12,High,0.5,0.3846,24.7,0.8571
148,Ahmadu Bello University,Law,Kwara,Female,Assistant lecturer,Ph.D,Full-time staff,34,6,5,9.0,0,1,2,Low,0.7143,0.3333,20.0,0.2857
149,Obafemi Awolowo University,Statistics,Enugu,Male,Lecturer i,B.Tech,Full-time staff,36,13,5,3.5,1,3,16,High,0.3571,0.1765,21.5,1.1429
150,University of Benin,Accounting,Plateau,Female,Associate professor,M.Tech,Full-time staff,48,25,6,5.2,4,4,11,Executive,0.2308,0.3333,36.2,0.4231
151,University of Ilorin,Computer science,Lagos,Female,Lecturer i,Ph.D,Full-time staff,37,9,1,8.1,4,3,4,High,0.1,0.6,18.1,0.4
152,University of Benin,History,Benue,Female,Lecturer ii,M.Ed,Contract staff,27,4,2,4.8,1,1,15,Medium,0.4,0.0625,10.8,3.0
153,Bayero University Kano,Physics,Bauchi,Female,Senior lecturer,Ph.D,Full-time staff,50,21,7,6.7,1,6,23,High,0.3182,0.25,34.7,1.0455
154,University of Ilorin,Pharmacy,Zamfara,Male,Senior lecturer,M.Sc,Contract staff,45,22,2,5.2,5,3,19,Executive,0.087,0.15,29.2,0.8261
155,University of Ilorin,Chemistry,Anambra,Female,Assistant lecturer,M.Sc,Contract staff,28,5,3,7.3,7,6,1,Medium,0.5,3.0,15.3,0.1667
156,University of Benin,Agriculture,Sokoto,Female,Lecturer ii,Ph.D,Full-time staff,32,9,6,3.8,0,6,14,Medium,0.6,0.4,18.8,1.4
157,Ahmadu Bello University,Education,Plateau,Female,Lecturer ii,Ph.D,Full-time staff,29,6,5,8.0,1,1,7,Medium,0.7143,0.125,19.0,1.0
158,University of Benin,Library science,Imo,Female,Associate professor,Ph.D,Visiting staff,52,25,16,8.1,1,5,14,Executive,0.6154,0.3333,49.1,0.5385
159,Ahmadu Bello University,Medicine,Benue,Female,Lecturer ii,Ph.D,Contract staff,35,7,1,4.2,1,1,11,Medium,0.125,0.0833,12.2,1.375
160,Federal University of Technology Minna,Mathematics,Rivers,Female,Professor,Ph.D,Full-time staff,49,26,16,6.9,4,5,5,Executive,0.5926,0.8333,48.9,0.1852
161,University of Nigeria Nsukka,Accounting,Lagos,Female,Senior lecturer,Ph.D,Full-time staff,39,17,8,6.7,4,7,6,High,0.4444,1.0,31.7,0.3333
162,Bayero University Kano,Computer science,Bauchi,Female,Professor,Ph.D,Full-time staff,64,40,9,6.8,1,5,20,Executive,0.2195,0.2381,55.8,0.4878
163,University of Ilorin,Biology,Niger,Female,Associate professor,Ph.D,Full-time staff,52,27,9,3.9,4,6,11,Executive,0.3214,0.5,39.9,0.3929
164,University of Lagos,Law,Bauchi,Female,Lecturer i,Ph.D,Full-time staff,37,15,5,7.5,4,2,6,High,0.3125,0.2857,27.5,0.375
165,University of Benin,Statistics,Imo,Female,Senior lecturer,Ph.D,Full-time staff,50,16,1,7.0,1,6,6,Executive,0.0588,0.8571,24.0,0.3529
