,StaffID,University,Department,State,Gender,Rank,Qualification,EmploymentType,Age,YearsOfExperience,BaseSalary,HousingAllowance,TransportAllowance,MedicalAllowance,ResearchGrant,TaxDeduction,PensionDeduction,NHFDeduction,GrossSalary,NetSalary,Publications,PerformanceScore,AbsenceDays,CoursesTaught,StudentsSupervised,PayrollCategory
13,STF000014,University of Benin,English,Delta,Female,Senior lecturer,Ph.D,Full-time staff,42,15,511520.0,115130.0,69150.0,49815.0,171304.0,50052.0,48714.0,15218.0,1001581.8,802935.0,5,6.9,1,2,9,Executive
14,STF000015,University of Ilorin,Agriculture,Bauchi,Female,Lecturer ii,Ph.D,Full-time staff,32,4,328625.0,71364.0,27830.0,30878.0,1255.0,30780.0,27644.0,9418.0,459952.0,392110.0,6,8.3,0,5,23,Medium
15,STF000016,Federal University of Technology Minna,Accounting,Zamfara,Female,Professor,M.Tech,Full-time staff,55,33,998013.0,277781.0,120416.5,69122.0,50556.0,94691.0,91577.2,25959.0,1667362.8,1321373.0,4,3.9,4,3,22,Executive
16,STF000017,Federal University of Technology Minna,Statistics,Anambra,Male,Lecturer ii,Ph.D,Full-time staff,26,4,326605.0,89969.0,34207.0,32332.0,44549.0,49380.0,29645.0,9367.0,527662.0,442163.0,4,9.1,0,3,19,Medium
17,STF000018,University of Nigeria Nsukka,Economics,Oyo,Female,Lecturer i,Ph.D,Full-time staff,41,13,403799.0,101755.0,45576.0,37817.0,25806.0,52618.0,40102.0,10109.0,614753.0,511924.0,3,7.9,4,2,20,High
18,STF000019,Abubakar Tafawa Balewa University Bauchi,Law,Plateau,Female,Associate professor,M.Phil,Part-time staff,58,29,821708.0,240668.0,79447.0,51057.0,294621.0,77194.0,81145.0,24123.0,1487501.0,1305039.0,9,4.0,1,4,12,Executive
19,STF000020,Obafemi Awolowo University,Nursing,Anambra,Female,Professor,Ph.D,Part-time staff,57,29,991062.3,259416.0,107859.0,78034.5,219722.0,97569.0,89836.0,28014.2,1728309.0,1511610.0,12,4.4,1,7,17,Executive
20,STF000021,Ahmadu Bello University,Library science,Enugu,Female,Lecturer i,Ph.D,Full-time staff,35,13,469157.0,142993.0,63593.0,32354.3,15297.0,56034.0,44844.0,13081.0,727566.0,613607.0,8,6.9,3,7,5,High
21,STF000022,Abubakar Tafawa Balewa University Bauchi,Economics,Benue,Female,Lecturer i,Ph.D,Full-time staff,39,14,465643.0,124444.0,42334.0,27190.0,29992.0,69918.8,41393.0,13506.0,689603.0,582031.0,5,4.6,5,5,2,High
22,STF000023,University of Benin,Biology,Sokoto,Female,Associate professor,Ph.D,Visiting staff,55,27,699565.0,221219.0,60468.0,48373.0,91038.0,61363.0,67194.0,20122.0,1120663.0,971984.0,3,7.7,2,5,14,Executive
23,STF000024,University of Benin,Law,Bauchi,Male,Lecturer ii,Ph.D,Full-time staff,34,7,329995.0,99134.0,32556.0,25508.0,45566.0,43962.0,29699.4,9074.0,532759.0,452577.0,8,8.1,5,2,3,Medium
24,STF000025,Obafemi Awolowo University,Education,Oyo,Female,Senior lecturer,Ph.D,Contract staff,47,18,482398.0,97464.0,57809.0,40057.0,65580.0,62552.0,45378.0,13686.0,743308.0,621692.0,9,5.5,4,7,4,High
25,STF000026,Abubakar Tafawa Balewa University Bauchi,Pharmacy,Sokoto,Female,Professor,Ph.D,Full-time staff,57,38,912128.0,297104.0,110976.0,60750.0,94614.0,72018.0,90086.0,24867.0,1475572.0,1288601.0,4,7.3,3,3,7,Executive
26,STF000027,Nnamdi Azikiwe University,Library science,Kaduna,Female,Lecturer i,M.Sc,Full-time staff,36,15,411470.0,89705.0,51874.0,25566.0,35108.0,37593.0,32928.0,10816.0,613723.0,532386.0,5,9.6,4,5,16,High
27,STF000028,Nnamdi Azikiwe University,Geography,Kaduna,Female,Assistant lecturer,M.Ed,Full-time staff,30,2,227225.0,73890.0,20284.0,16603.0,43646.0,20523.0,19227.0,6717.0,381648.0,335181.0,0,7.4,8,3,11,Medium
28,STF000029,University of Benin,History,Enugu,Female,Senior lecturer,Ph.D,Full-time staff,43,15,613460.0,211298.0,57481.0,52961.0,291903.0,85209.0,59320.0,15522.2,1227103.0,1065755.0,4,6.2,6,1,10,Executive
29,STF000030,Ahmadu Bello University,English,Oyo,Female,Senior lecturer,Ph.D,Adjunct staff,47,18,515078.0,168509.0,62917.0,42606.2,153380.0,61540.0,50396.0,14058.0,1016924.5,820673.0,11,8.1,1,6,16,Executive
30,STF000031,University of Benin,Engineering,Benue,Female,Senior lecturer,Ph.D,Full-time staff,41,15,635247.0,131639.0,75441.0,56310.0,174190.5,49073.0,61946.0,17393.0,1155377.0,873444.9,7,7.1,0,4,15,Executive
31,STF000032,University of Benin,Geography,Anambra,Female,Lecturer ii,B.Sc,Part-time staff,32,6,296136.0,103511.0,30593.0,28933.0,45535.0,36011.0,25126.0,8013.0,504708.0,435558.0,5,8.6,2,5,11,Medium
32,STF000033,University of Lagos,Agriculture,Katsina,Female,Lecturer ii,Ph.D,Full-time staff,37,9,337350.0,91425.0,28592.0,24568.3,37543.0,37695.0,29699.4,8510.0,528208.0,451367.0,1,5.4,0,2,21,Medium
33,STF000034,University of Ilorin,English,Sokoto,Female,Lecturer i,Ph.D,Part-time staff,36,15,384623.0,110625.0,51356.0,24075.0,4960.0,43148.0,33063.0,10125.0,652948.1,489303.0,0,4.5,1,1,2,Medium
34,STF000035,University of Benin,Architecture,Delta,Female,Lecturer ii,Ph.D,Full-time staff,33,7,1077237.0,101784.0,46901.0,26006.0,41915.0,120609.2,31466.0,9722.0,541599.0,475786.0,6,6.8,10,4,12,Medium
35,STF000036,University of Lagos,Chemistry,Katsina,Female,Lecturer i,Ph.D,Full-time staff,36,14,1077237.0,120463.0,58990.0,30883.0,17024.0,49557.0,37971.0,13396.0,676092.0,575168.0,8,6.8,1,3,10,High
36,STF000037,University of Benin,Mathematics,Kwara,Male,Associate professor,M.Sc,Full-time staff,47,25,822995.0,266327.0,104257.0,44790.0,165578.0,105758.0,70553.0,20622.0,1403947.0,1207014.0,17,7.8,5,5,24,Executive
37,STF000038,Obafemi Awolowo University,Computer science,Kwara,Female,Lecturer i,Ph.D,Full-time staff,39,14,467828.0,134644.0,61006.0,40540.0,23180.0,57344.0,46096.0,13471.0,727198.0,557963.9,3,5.5,2,7,14,High
38,STF000039,University of Benin,English,Katsina,Female,Senior lecturer,Ph.D,Full-time staff,43,14,525748.0,123754.0,65030.6,37493.0,194153.0,47796.0,51121.0,13404.0,926724.0,814403.0,13,9.2,1,4,5,Executive
39,STF000040,Bayero University Kano,Biology,Katsina,Male,Assistant lecturer,Ph.D,Full-time staff,30,2,232725.0,58005.0,33996.0,17217.0,11245.0,32527.0,22352.0,6626.0,353188.0,291683.0,1,8.1,0,2,1,Low
40,STF000041,Ahmadu Bello University,History,Delta,Female,Associate professor,Ph.D,Full-time staff,47,24,731794.0,189574.0,62927.0,56112.0,171840.0,62287.0,72751.0,19619.0,1212247.0,1099843.1,13,5.1,6,1,22,Executive
41,STF000042,Obafemi Awolowo University,History,Kano,Female,Lecturer i,M.Sc,Full-time staff,42,14,462369.0,122142.0,54935.0,40654.0,16033.0,49380.0,37872.0,13498.0,696133.0,609879.0,5,6.5,2,1,3,High
42,STF000043,Bayero University Kano,Education,Zamfara,Female,Lecturer i,Ph.D,Full-time staff,40,13,445439.0,141678.0,39191.0,30812.0,38220.0,55478.0,40365.0,12143.0,695340.0,587354.0,4,8.8,1,12,17,High
43,STF000044,University of Nigeria Nsukka,Geography,Anambra,Female,Senior lecturer,M.Ed,Full-time staff,45,20,619153.0,128872.0,79764.0,51739.0,207607.0,86480.0,54287.0,15908.0,1087135.0,930460.0,8,8.2,3,6,10,Executive
44,STF000045,University of Benin,Medicine,Kano,Female,Associate professor,Ph.D,Full-time staff,48,23,728357.0,240401.0,73657.0,50578.0,98512.0,51571.0,67264.9,19281.0,1191505.0,1054472.0,8,7.3,2,0,5,Executive
45,STF000046,University of Ilorin,Law,Benue,Female,Lecturer ii,Ph.D,Full-time staff,34,5,333487.0,311365.1,44313.0,24141.0,46630.0,49380.0,32778.0,9194.0,525737.0,448815.0,6,7.7,0,6,20,Medium
46,STF000047,Nnamdi Azikiwe University,Mathematics,Delta,Female,Lecturer ii,Ph.D,Visiting staff,31,6,357370.0,104300.0,53484.0,33770.0,1368.0,35515.0,28788.0,9327.0,550292.0,476662.0,7,6.6,1,1,7,Medium
47,STF000048,Abubakar Tafawa Balewa University Bauchi,Chemistry,Bauchi,Female,Assistant lecturer,B.Tech,Part-time staff,27,2,269326.0,91050.0,25122.0,24571.0,33220.0,38112.0,26262.0,7825.0,443289.0,371090.0,4,4.7,4,6,3,Medium
48,STF000049,Nnamdi Azikiwe University,Chemistry,Abuja,Female,Lecturer i,Ph.D,Full-time staff,31,7,421129.0,92418.0,46380.0,32473.0,38611.0,40059.0,38773.6,11672.0,631011.0,539589.0,2,4.2,4,2,16,High
49,STF000050,Obafemi Awolowo University,Pharmacy,Niger,Female,Assistant lecturer,M.Ed,Full-time staff,28,5,221773.0,51929.0,19020.0,17256.0,26932.0,26658.1,20810.0,5792.0,336910.0,288498.0,2,7.1,4,7,1,Low
50,STF000051,Obafemi Awolowo University,Nursing,Benue,Female,Lecturer i,Ph.D,Full-time staff,31,9,468675.0,134186.0,53323.0,36207.0,13830.0,49893.0,45972.0,13162.0,706221.0,597194.0,11,7.9,3,5,21,High
51,STF000052,Bayero University Kano,Engineering,Imo,Female,Graduate assistant,M.Phil,Full-time staff,30,2,201113.0,44078.0,28540.0,15484.0,3632.0,17301.0,17945.0,5848.0,292847.0,251753.0,3,4.1,3,1,1,Low
52,STF000053,University of Benin,Chemistry,Imo,Female,Lecturer ii,Ph.D,Full-time staff,33,10,351816.0,84650.0,40173.0,34141.0,8289.0,42997.0,33964.0,9525.0,519069.0,432583.0,9,3.8,2,5,18,Medium
53,STF000054,University of Lagos,Geography,Kwara,Female,Professor,LL.B,Contract staff,61,39,1066316.0,311365.1,120416.5,69654.9,60461.0,90912.0,91577.2,28014.2,1708823.0,1490295.0,0,6.6,11,4,10,Executive
54,STF000055,Bayero University Kano,Pharmacy,Delta,Female,Professor,Ph.D,Full-time staff,63,37,993885.0,296051.0,120416.5,78034.5,113400.0,99425.0,87645.0,28014.2,1633018.0,1416270.0,20,9.7,6,4,16,Executive
55,STF000056,Ahmadu Bello University,Law,Abuja,Female,Lecturer i,Ph.D,Part-time staff,37,15,427979.0,103388.0,45568.0,31649.0,19882.0,41383.0,35853.0,11831.9,652948.1,539835.0,5,9.7,10,0,14,High
56,STF000057,Abubakar Tafawa Balewa University Bauchi,Library science,Zamfara,Female,Professor,M.Sc,Full-time staff,58,36,1057184.0,311365.1,88928.0,78034.5,255082.0,120609.2,85800.0,28014.2,1859639.0,1599508.0,3,6.3,2,7,4,Executive
57,STF000058,University of Benin,Medicine,Kano,Male,Senior lecturer,Ph.D,Full-time staff,40,15,1077237.0,163973.0,43087.0,46886.0,247988.0,71967.0,43011.0,12619.0,1001581.8,878346.0,11,4.0,3,3,19,Executive
58,STF000059,University of Ilorin,Law,Niger,Female,Senior lecturer,B.Sc,Full-time staff,42,16,520415.0,157846.0,45041.0,28293.0,242692.0,55789.0,46208.0,15174.0,994287.0,877116.0,3,5.4,3,5,16,Executive
59,STF000060,University of Ilorin,History,Zamfara,Female,Professor,MBA,Visiting staff,57,40,1007228.8,259036.0,120416.5,69298.8,277574.0,92063.0,91577.2,28014.2,1903579.1,1681551.0,14,7.9,1,4,6,Executive
60,STF000061,Nnamdi Azikiwe University,Agriculture,Enugu,Female,Assistant lecturer,M.Sc,Full-time staff,24,0,242997.0,69349.0,33340.0,13453.0,32663.0,17666.0,21686.0,6295.0,391802.0,346155.0,4,6.8,4,1,3,Medium
61,STF000062,Federal University of Technology Minna,Economics,Anambra,Female,Professor,MBA,Full-time staff,63,34,1077237.0,302728.0,120416.5,59342.0,216440.0,85678.0,74081.0,23445.0,1615705.0,1437239.7,19,4.4,9,7,9,Executive
62,STF000063,University of Nigeria Nsukka,Computer science,Anambra,Female,Lecturer i,M.Sc,Full-time staff,39,13,399225.0,134926.0,49499.0,29735.0,46700.0,53387.0,34172.0,11134.0,660085.0,561392.0,2,7.6,0,4,12,High
63,STF000064,Ahmadu Bello University,Computer science,Kwara,Female,Senior lecturer,Ph.D,Part-time staff,42,18,594427.0,199348.0,64981.2,47163.0,259352.0,80853.0,56527.0,15199.0,1158636.0,1006057.0,11,7.1,10,6,11,Executive
64,STF000065,Nnamdi Azikiwe University,Library science,Imo,Female,Professor,Ph.D,Full-time staff,55,29,870278.0,208830.0,106933.0,70645.0,250482.0,120609.2,74878.0,22764.0,1507168.0,1279894.0,17,9.4,0,4,12,Executive
65,STF000066,University of Lagos,Biology,Lagos,Female,Senior lecturer,Ph.D,Part-time staff,36,12,649298.0,156796.0,52120.0,43004.0,96899.0,69431.0,52117.0,17293.0,998117.0,859276.0,6,5.3,3,6,16,Executive
66,STF000067,University of Lagos,History,Kaduna,Female,Senior lecturer,Ph.D,Contract staff,42,16,628301.0,204558.0,64914.7,47921.0,239604.0,49380.0,59785.0,17399.0,1196145.0,1024898.0,8,9.3,2,3,24,Executive
67,STF000068,Nnamdi Azikiwe University,Agriculture,Oyo,Female,Senior lecturer,B.Ed,Full-time staff,43,14,578705.0,311365.1,85885.0,36844.0,232881.0,72498.0,53360.0,14997.0,1093635.0,952780.0,8,8.9,7,1,12,Executive
68,STF000069,Obafemi Awolowo University,English,Enugu,Female,Lecturer ii,Ph.D,Full-time staff,35,6,332138.0,71081.0,33994.0,19888.0,40631.0,44039.0,32180.0,9205.0,497732.0,412308.0,4,5.7,5,6,11,Medium
69,STF000070,Obafemi Awolowo University,Medicine,Lagos,Female,Lecturer ii,M.Sc,Full-time staff,35,8,1077237.0,90694.0,31440.0,24439.0,36399.0,55240.0,35221.0,10899.0,557722.0,456362.0,5,8.1,2,3,2,Medium
70,STF000071,Bayero University Kano,Mathematics,Zamfara,Female,Lecturer ii,M.Phil,Part-time staff,30,8,353710.0,96490.0,36971.0,18802.0,30633.0,46557.0,34565.0,9582.0,506608.3,445902.0,5,5.0,9,6,23,Medium
71,STF000072,Nnamdi Azikiwe University,Engineering,Zamfara,Male,Lecturer i,Ph.D,Full-time staff,40,15,463994.0,137010.0,49502.0,42051.0,17038.0,62859.0,44870.0,13219.0,709595.0,588650.0,5,8.4,4,1,7,High
72,STF000073,Abubakar Tafawa Balewa University Bauchi,Nursing,Imo,Female,Lecturer i,M.Phil,Adjunct staff,35,12,393070.0,111692.0,58908.0,35881.0,34656.0,54799.0,32212.0,10152.0,634207.0,537044.0,1,6.0,3,2,2,High
73,STF000074,Ahmadu Bello University,Engineering,Imo,Male,Lecturer i,B.Ed,Full-time staff,33,10,387643.0,128766.8,50811.0,29882.0,24440.0,39325.0,32960.0,11412.0,582476.0,498779.0,1,4.0,1,2,16,Medium
74,STF000075,Obafemi Awolowo University,Mathematics,Plateau,Female,Lecturer i,M.Sc,Part-time staff,31,8,389598.0,99997.0,37263.0,25907.0,36536.0,46337.0,33075.0,11548.0,589301.0,498341.0,10,3.6,0,4,4,Medium
75,STF000076,Abubakar Tafawa Balewa University Bauchi,Computer science,Lagos,Female,Lecturer i,M.Sc,Part-time staff,34,7,415342.0,97861.0,40382.0,20990.0,48856.0,57863.0,36044.0,10823.0,623431.0,518701.0,6,7.1,3,7,11,High
76,STF000077,University of Ilorin,History,Plateau,Female,Associate professor,Ph.D,Full-time staff,49,27,733374.0,247727.0,72142.0,56132.0,182226.0,99593.0,71781.0,18457.0,1291601.0,1101770.0,0,9.5,4,1,20,Executive
77,STF000078,Nnamdi Azikiwe University,History,Kano,Female,Graduate assistant,Ph.D,Contract staff,25,3,213496.0,61845.0,26722.0,18408.0,15674.0,24035.3,18428.0,5559.0,336145.0,280310.0,3,8.7,2,4,2,Low
78,STF000079,Federal University of Technology Minna,English,Anambra,Female,Graduate assistant,MBA,Visiting staff,26,0,244506.3,63147.6,16397.0,11064.0,2661.0,28917.0,17105.0,5031.0,287060.0,236007.0,4,4.8,7,1,3,Low
79,STF000080,Abubakar Tafawa Balewa University Bauchi,Pharmacy,Imo,Female,Associate professor,M.Phil,Visiting staff,55,27,729552.0,216092.8,93324.0,60316.0,235604.0,88229.0,67481.0,19583.0,1269681.0,1094388.0,9,8.9,3,3,2,Executive
80,STF000081,Nnamdi Azikiwe University,English,Enugu,Female,Lecturer ii,Ph.D,Full-time staff,30,5,358811.8,81346.0,41182.0,17010.0,33102.0,31110.0,29699.4,9080.7,469976.0,403105.0,6,7.5,1,4,5,Medium
81,STF000082,University of Benin,Statistics,Taraba,Male,Assistant lecturer,Ph.D,Visiting staff,26,4,273917.0,84266.0,30871.0,16090.0,18595.0,22980.0,26723.0,8201.0,423739.0,365835.0,4,5.6,0,5,2,Medium
82,STF000083,University of Benin,Accounting,Sokoto,Female,Senior lecturer,B.Sc,Contract staff,44,18,606020.0,143871.0,56395.0,32076.0,95854.0,90432.0,57636.0,15604.0,1013291.9,770544.0,6,7.5,5,3,2,High
83,STF000084,Abubakar Tafawa Balewa University Bauchi,Biology,Adamawa,Female,Senior lecturer,M.Sc,Full-time staff,44,15,629856.0,141332.0,71887.0,56710.0,187600.0,56415.0,56829.0,16128.0,1087385.0,958013.0,8,7.0,2,7,4,Executive
84,STF000085,University of Nigeria Nsukka,Economics,Rivers,Female,Senior lecturer,M.Sc,Full-time staff,46,21,580769.0,161221.0,56137.0,54322.0,116809.0,109965.9,47027.0,16492.0,969258.0,827611.0,0,6.9,0,2,10,Executive
85,STF000086,University of Benin,Chemistry,Benue,Female,Lecturer i,LL.B,Contract staff,36,12,406757.0,109407.0,40214.0,32616.1,28592.0,47667.0,36909.0,10372.0,616367.0,521419.0,10,4.4,4,3,23,High
86,STF000087,Ahmadu Bello University,Architecture,Kano,Female,Senior lecturer,B.Tech,Full-time staff,43,15,484361.0,165321.0,71472.0,43155.0,108102.0,37624.0,40484.0,13583.0,872411.0,780720.0,5,6.7,6,1,16,High
87,STF000088,Abubakar Tafawa Balewa University Bauchi,Mathematics,Benue,Female,Lecturer i,M.Sc,Contract staff,42,0,422330.0,138451.0,39240.0,36923.0,36665.0,29703.0,40449.0,10790.0,673609.0,592667.0,5,3.7,1,7,16,High
88,STF000089,University of Lagos,History,Rivers,Female,Lecturer i,Ph.D,Full-time staff,30,8,447568.0,110216.0,36888.0,38039.0,45273.0,49380.0,40410.0,12136.0,677984.0,587193.0,8,4.9,2,12,24,High
89,STF000090,University of Nigeria Nsukka,Medicine,Oyo,Female,Senior lecturer,Ph.D,Visiting staff,38,15,488004.0,158336.0,62866.0,30567.0,211861.0,68558.0,48730.0,13586.0,951634.0,820760.0,11,3.8,1,7,14,Executive
90,STF000091,Nnamdi Azikiwe University,History,Rivers,Male,Senior lecturer,Ph.D,Full-time staff,45,18,621820.0,188834.0,76012.0,50044.0,96518.0,59956.0,50715.1,16737.0,1033228.0,895311.0,10,4.2,2,6,13,Executive
91,STF000092,Abubakar Tafawa Balewa University Bauchi,Economics,Kwara,Female,Senior lecturer,Ph.D,Part-time staff,41,19,484257.0,120390.0,47123.0,43045.0,82362.0,51715.0,43317.0,13336.0,777177.0,668809.0,7,8.4,4,4,16,High
92,STF000093,Ahmadu Bello University,Statistics,Benue,Female,Senior lecturer,Ph.D,Full-time staff,41,17,517897.0,311365.1,67618.0,34460.0,205393.0,38900.0,51454.0,15016.0,940195.0,834825.0,11,8.6,3,2,21,Executive
93,STF000094,University of Lagos,Law,Bauchi,Female,Lecturer i,Ph.D,Part-time staff,36,12,399950.0,122436.0,55157.0,28963.0,8218.0,32579.0,36274.0,11691.0,614724.0,534180.0,5,6.9,0,1,3,High
94,STF000095,Federal University of Technology Minna,Accounting,Benue,Female,Assistant lecturer,Ph.D,Part-time staff,30,6,267881.0,72464.0,23545.0,24006.0,46620.0,36253.0,22213.0,7185.0,434516.0,368865.0,2,6.4,4,4,2,Medium
95,STF000096,Bayero University Kano,Agriculture,Kwara,Female,Senior lecturer,Ph.D,Full-time staff,42,15,581844.0,134347.0,70260.0,42979.0,60879.0,48211.0,50715.1,15492.0,890309.0,777923.0,11,6.5,1,5,14,High
96,STF000097,Bayero University Kano,Statistics,Rivers,Female,Assistant lecturer,M.Tech,Full-time staff,34,3,279991.0,95252.0,41772.0,17271.0,33450.0,35627.0,23491.0,7614.0,467736.0,401004.0,2,9.4,4,5,11,Medium
97,STF000098,Obafemi Awolowo University,Accounting,Plateau,Female,Associate professor,Ph.D,Full-time staff,47,24,694322.0,311365.1,89244.0,39426.0,295722.0,83971.0,60735.0,20284.0,1314186.0,1149196.0,13,3.7,4,6,3,Executive
98,STF000099,University of Benin,Nursing,Bauchi,Female,Senior lecturer,LL.B,Full-time staff,41,19,544512.0,176779.0,53013.0,39172.0,269353.0,44781.0,48038.0,14619.0,1001581.8,975391.0,4,3.7,5,4,17,Executive
99,STF000100,Federal University of Technology Minna,Mathematics,Sokoto,Female,Assistant lecturer,M.Sc,Full-time staff,27,2,263383.0,71145.0,28960.0,21965.0,12526.0,20077.0,24390.0,6624.0,397979.0,333932.2,2,9.7,1,4,4,Medium
100,STF000101,Ahmadu Bello University,Statistics,Kaduna,Female,Professor,Ph.D,Visiting staff,55,28,1001356.0,204518.0,119484.0,58997.0,177205.0,117486.0,91577.2,25662.0,1561560.0,1325453.0,18,9.5,5,2,18,Executive
101,STF000102,Obafemi Awolowo University,Economics,Oyo,Female,Lecturer i,Ph.D,Full-time staff,43,0,424433.0,135899.0,53352.0,25120.0,45734.0,55504.0,40121.0,10729.0,684538.0,578184.0,6,5.5,1,4,12,High
102,STF000103,University of Benin,Chemistry,Katsina,Female,Lecturer ii,M.Sc,Full-time staff,31,7,337272.0,83445.0,31864.0,20164.0,43861.0,32508.0,28126.0,8599.0,516606.0,447373.0,8,4.0,3,7,9,Medium
103,STF000104,University of Ilorin,Physics,Abuja,Female,Lecturer i,M.Sc,Full-time staff,36,7,449797.0,138011.0,50363.0,26268.0,46833.0,86377.1,41783.0,11847.0,711272.0,599895.0,4,9.6,2,7,21,High
104,STF000105,Ahmadu Bello University,Architecture,Lagos,Female,Lecturer ii,B.Sc,Adjunct staff,32,5,304150.0,79304.0,35558.0,19846.0,27118.0,33339.0,27938.0,8991.0,465976.0,395708.0,6,6.5,2,3,16,Medium
105,STF000106,Federal University of Technology Minna,Pharmacy,Plateau,Female,Lecturer i,Ph.D,Full-time staff,43,14,385043.0,126510.0,56519.0,33146.0,11999.0,51988.0,35839.0,9843.0,613217.0,515547.0,7,5.4,1,1,14,High
106,STF000107,Obafemi Awolowo University,Law,Lagos,Female,Senior lecturer,Ph.D,Contract staff,46,17,603398.0,180417.0,61937.0,41510.0,281377.0,50171.0,50450.0,18011.0,1168639.0,1050007.0,2,3.9,2,2,14,Executive
107,STF000108,Ahmadu Bello University,Computer science,Plateau,Female,Senior lecturer,Ph.D,Full-time staff,45,16,568729.0,132438.0,66353.0,53852.0,296821.0,55670.0,47032.0,16391.0,1001581.8,999100.0,9,7.1,4,1,11,Executive
108,STF000109,University of Benin,Architecture,Adamawa,Female,Assistant lecturer,B.Tech,Full-time staff,25,2,236289.0,84227.5,22558.0,18668.4,24723.4,20494.0,23099.0,6444.0,384187.0,334150.0,6,4.0,1,1,3,Medium
109,STF000110,University of Ilorin,Computer science,Zamfara,Male,Assistant lecturer,B.Ed,Full-time staff,32,3,251553.0,79695.0,35519.0,12983.0,31503.0,29768.0,22448.1,6661.0,411253.0,333932.2,0,5.6,10,6,1,Medium
110,STF000111,University of Lagos,Agriculture,Abuja,Female,Assistant lecturer,M.Sc,Full-time staff,32,5,256644.0,68918.0,21628.0,19158.0,45158.0,49380.0,23961.0,6922.0,411506.0,362021.0,1,4.2,1,1,3,Medium
111,STF000112,Abubakar Tafawa Balewa University Bauchi,Chemistry,Katsina,Female,Lecturer i,Ph.D,Full-time staff,36,12,424529.0,101203.0,60620.0,25922.0,5782.0,74085.2,36416.0,11855.0,618056.0,539075.0,3,9.2,6,1,24,High
112,STF000113,Bayero University Kano,Medicine,Abuja,Female,Lecturer ii,B.Tech,Full-time staff,32,4,316267.0,87354.0,31045.0,25435.0,7716.0,38707.0,29296.0,8074.0,467817.0,391740.0,3,8.4,5,4,15,Medium
